gene, B cells_naive, Monocytes_CD14+, Monocytes_CD16+, NK cells, T cells_CD4+_memory TREG, T cells_CD4+_naive, T cells_CD4+_naive_stimulated, T cells_CD4+_naive TREG, T cells_CD4+_TFH, T cells_CD4+_Th1_17, T cells_CD4+_Th17, T cells_CD4+_Th1, T cells_CD4+_Th2, T cells_CD8+_naive, T cells_CD8+_naive_stimulated
AL133480.1,,,,,6.655315778,,,,,,,,,,
AL136456.1,,,,,,,,,,,4.77138431,,,,
AL137025.1,,,,,6.451853887,,,,,,,,,,
AL139022.1,,,,,5.910129378,4.508994306,,4.856260114,8.208086671,,,,,4.736398199,
AL139246.5,2.468786375,,-2.879564442,1.556958189,,,,,,,,,,,
AL139330.1,,,,,,,,,5.792335129,,,,,,
AL139807.1,,,,,,,,,,5.36314543,,3.180890502,,,
AL157402.2,,,-1.674556087,,,,,,7.273796394,,,,,,
AL157871.4,,-1.590774087,,,,,,,,,,,,,
AL157938.2,,,,,5.941141074,4.104118824,,4.027891208,5.043361762,6.411197142,5.394887477,5.416896101,4.72429274,6.525520219,
AL157938.3,,,,,,,,,,,,3.768128514,,,
AL158212.2,,,-1.984499853,,,,,,,,,,,,
AL158801.3,,,,,,,,,5.932843113,,,,,,
AL162253.2,,-3.207001345,,,,,,,,,,,,-2.019394634,
AL162424.1,,-4.526112884,,,,,,,,,,,,,
AL163541.1,,7.292171127,6.766912671,,,,,,,,,,,,
AL353660.1,,,,,,,,-4.153353775,,,,,,,
AL355075.4,6.008850727,,,,,,,,,4.865861728,,,,,
AL360012.1,4.069892134,-2.328802388,,3.371113807,,,,5.148855284,,,,4.237992143,,,
AL360091.3,,,,,,,,,3.337936525,,,5.826964358,,,
AL365272.1,1.151943277,,,,,,,,,,,,,,
AL391839.1,,,,,5.226091736,6.145934502,,4.085655784,8.450857586,,5.749791717,,,6.142101115,
